,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mid-Way Through 2018-19 Season,Mid-Way Through 2018-19 Season,,,,,,,,,,,,,,,,,,,,
Step,League,"2021-22
Position",2021-22 Promoted,"2022-23
4,Southern Div. One Central,3,2,9,1,Hadley,"2,708","3,010","3,140","3,110","3,150","3,309","3,343",,"3,428","3,482","3,753","3,976","4,031",,"4,233","4,365","4,403",334,,,,
4,Southern Div. One South,1,2,3,1,Hamworthy United,,,485,"1,106","1,236","1,484","1,557",,"1,952","3,506","4,045","4,767","5,103",,"5,510","5,607","5,765",504,,,,
4,Southern Div. One South,1,2,6,1,Tavistock,,,"2,270","2,949","2,973","3,173","3,253",,"3,341","3,451","4,148","4,409","4,501",,"4,901","5,160","5,233",659,,,,
4,Southern Div. One South,1,2,9,1,Bishop's Cleeve,,,"4,721","5,047","5,053","5,144","5,185",,"5,240","5,252","5,619","5,834","5,840",,"6,145","6,262","6,317",422,,,,
4,Southern Div. One South,2,2,7,1,Bashley,,,"1,665","2,122","2,198","2,367","2,425",,"2,514","2,544","3,101","3,550","3,616",,"4,132","4,522","4,672",906,,,,
4,Southern Div. One South,2,2,10,1,Westbury United,,,"2,324","2,818","2,909","3,104","3,149",,"3,222","3,290","3,730","4,020","4,079",,"4,440","4,671","4,774",592,,,,
4,Southern Div. One South,2,2,14,1,Exmouth Town,,,"1,848","2,423","2,462","2,619","2,675",,"2,781","2,847","3,203","3,560","3,600",,"4,000","4,120","4,211",520,,,,
5,Combined Counties Premier Div. North,3,2,10,1,Wallingford Town,,,558,774,801,898,,,957,,"1,357","1,494","1,530",,"1,523","1,505","1,494",-25,,,,
5,Eastern Counties Premier Div.,1,2,7,1,Sheringham,,,"1,070","1,604","1,742","1,893",,,"2,021",,"2,290","2,440","2,487",,"2,709","2,903","3,008",416,,,,
5,Eastern Counties Premier Div.,2,2,3,1,Harleston Town,,,,,,,,,,,"3,451","3,584","3,613",,"3,779","3,934","4,056",321,,,,
