ID,Mass,MassUpper,MassLower,Width,WidthUpper,WidthLower,I,G,P,C,Anti,Charge,Rank,Status,Name,Quarks
-13116,1915,20,15,120,40,40,1,5,-1,5,1,3,4,1,Sigma(1915),DDS
13122,1405.1,1.3,1,50.5,2,2,0,5,-1,5,1,0,4,0,Lambda(1405),uds
-13122,1405.1,1.3,1,50.5,2,2,0,5,1,5,1,0,4,0,Lambda(1405),UDS
13124,1690,5,5,70,10,10,0,5,-1,5,1,0,4,1,Lambda(1690),uds
-13124,1690,5,5,70,10,10,0,5,1,5,1,0,4,1,Lambda(1690),UDS
13126,1825,5,5,90,30,30,0,5,-1,5,1,0,4,1,Lambda(1830),uds
-13126,1825,5,5,90,30,30,0,5,1,5,1,0,4,1,Lambda(1830),UDS
13212,1660,20,20,200,100,100,1,5,1,5,1,0,3,0,Sigma(1660),uds
-13212,1660,20,20,200,100,100,1,5,-1,5,1,0,3,0,Sigma(1660),UDS
13214,1675,10,10,70,30,30,1,5,-1,5,1,0,4,1,Sigma(1670),uds
-13214,1675,10,10,70,30,30,1,5,1,5,1,0,4,1,Sigma(1670),UDS
13216,1915,20,15,120,40,40,1,5,1,5,1,0,4,1,Sigma(1915),uds
-13216,1915,20,15,120,40,40,1,5,-1,5,1,0,4,1,Sigma(1915),UDS
13222,1660,20,20,200,100,100,1,5,1,5,1,3,3,0,Sigma(1660),uus
-13222,1660,20,20,200,100,100,1,5,-1,5,1,-3,3,0,Sigma(1660),UUS
13224,1675,10,10,70,30,30,1,5,-1,5,1,3,4,1,Sigma(1670),uus
-13224,1675,10,10,70,30,30,1,5,1,5,1,-3,4,1,Sigma(1670),UUS
13226,1915,20,15,120,40,40,1,5,1,5,1,3,4,1,Sigma(1915),uus
-13226,1915,20,15,120,40,40,1,5,-1,5,1,-3,4,1,Sigma(1915),UUS
13314,1823,5,5,24,15,10,2-Jan,5,-1,5,1,-3,3,1,Xi(1820),dss
-13314,1823,5,5,24,15,10,2-Jan,5,1,5,1,3,3,1,Xi(1820),DSS
